# Time-averaged data for fix track_rdf
# TimeStep Number-of-rows
# Row c_rdf_calc[1] c_rdf_calc[2] c_rdf_calc[3] c_rdf_calc[4] c_rdf_calc[5]
2500 100
85 10.4013 7.3988 300.2 8.19371 287.9
86 10.5244 7.52537 312.8 7.70454 300.8
87 10.6475 7.11897 325 7.99425 314.5
88 10.7706 6.7861 336.9 9.01012 330.3
89 10.8936 6.18765 348 9.42084 347.2
90 11.0167 5.66862 358.4 7.24929 360.5
91 11.1398 5.59734 368.9 7.19658 374
92 11.2629 6.51865 381.4 5.11062 383.8
93 11.386 6.22539 393.6 5.91922 395.4
94 11.5091 6.99189 407.6 6.29271 408
95 11.6322 7.04027 422 6.60025 421.5
96 11.7553 7.37232 437.4 6.41488 434.9
97 11.8784 6.3295 450.9 7.97048 451.9
98 12.0015 7.67004 467.6 6.20033 465.4
99 12.1246 7.6051 484.5 6.79509 480.5
100 12.2477 6.17408 498.5 9.65803 502.4
5000 100
1 0.061546 0 0 0 0
2 0.184638 0 0 0 0
3 0.30773 0 0 0 0
4 0.430822 0 0 0 0
5 0.553914 0 0 0 0
6 0.677006 0 0 0 0
7 0.800098 0 0 0 0
8 0.92319 0 0 0 0
9 1.04628 0 0 0 0
10 1.16937 0 0 0 0
11 1.29247 0 0 0 0
12 1.41556 0 0 0 0
13 1.53865 0 0 0 0
14 1.66174 0 0 0 0
15 1.78483 2.0758 0.1 0 0
16 1.90793 16.3502 1 0 0
17 2.03102 0 1 0 0
18 2.15411 0 1 0 0
19 2.2772 0 1 0 0
20 2.40029 0 1 0 0
21 2.52339 0 1 1.03872 0.1
22 2.64648 0.944363 1.1 0.944363 0.2
23 2.76957 1.7246 1.3 3.44919 0.6
24 2.89266 8.69532 2.4 2.37145 0.9
25 3.01575 5.09096 3.1 5.09096 1.6
26 3.13885 6.71364 4.1 9.3991 3
27 3.26194 8.7032 5.5 6.83823 4.1
28 3.38503 9.81363 7.2 6.92727 5.3
29 3.50812 8.59963 8.8 4.83729 6.2
30 3.63121 4.01327 9.6 3.00995 6.8
31 3.75431 3.75444 10.4 6.57028 8.2
32 3.8774 2.19992 10.9 3.95985 9.1
33 4.00049 5.78657 12.3 5.78657 10.5
34 4.12358 7.00237 14.1 4.27922 11.6
35 4.24667 5.50195 15.6 8.43633 13.9
36 4.36977 1.03927 15.9 7.62134 16.1
37 4.49286 2.62163 16.7 6.22637 18
38 4.61595 4.96736 18.3 10.8661 21.5
39 4.73904 6.47994 20.5 7.06903 23.9
40 4.86213 5.87619 22.6 5.03674 25.7
41 4.98523 5.85578 24.8 5.05726 27.6
42 5.10832 5.83049 27.1 8.11198 30.8
43 5.23141 9.18502 30.9 8.21817 34.2
44 5.3545 9.69049 35.1 3.46089 35.7
45 5.47759 7.05514 38.3 4.62994 37.8
46 5.60069 6.11578 41.2 5.48311 40.4
47 5.72378 3.83641 43.1 7.67282 44.2
48 5.84687 4.83761 45.6 6.77266 47.7
49 5.96996 4.64019 48.1 6.68187 51.3
50 6.09305 7.66192 52.4 6.94918 55.2
51 6.21615 8.73107 57.5 5.99191 58.7
52 6.33924 8.88914 62.9 5.26764 61.9
53 6.46233 8.55374 68.3 5.7025 65.5
54 6.58542 8.69459 74 6.254 69.6
55 6.70851 6.32059 78.3 4.85068 72.9
56 6.83161 7.65403 83.7 5.66965 76.9
57 6.9547 6.83842 88.7 4.92366 80.5
58 7.07779 5.94238 93.2 5.28211 84.5
59 7.20088 6.50642 98.3 7.01673 90
60 7.32397 5.30296 102.6 7.02951 95.7
61 7.44707 4.89055 106.7 8.70756 103
62 7.57016 4.84824 110.9 6.81062 108.9
63 7.69325 3.68841 114.2 7.37681 115.5
64 7.81634 6.7132 120.4 6.49664 121.5
65 7.93943 4.93246 125.1 8.29074 129.4
66 8.06253 6.51303 131.5 6.20773 135.5
67 8.18562 4.34406 135.9 6.51608 142.1
68 8.30871 4.2163 140.3 7.57017 150
69 8.4318 4.37324 145 6.42029 156.9
70 8.55489 7.5927 153.4 6.59842 164.2
71 8.67799 5.70982 159.9 6.41256 171.5
72 8.80108 7.5155 168.7 5.55122 178
73 8.92417 8.30637 178.7 4.23625 183.1
74 9.04726 7.11206 187.5 5.33405 189.7
75 9.17035 8.81035 198.7 5.74246 197
76 9.29345 11.4891 213.7 7.12323 206.3
77 9.41654 8.72873 225.4 6.19218 214.6
78 9.53963 6.39687 234.2 6.03341 222.9
79 9.66272 7.2977 244.5 6.94345 232.7
80 9.78581 6.49355 253.9 6.90803 242.7
81 9.90891 4.85098 261.1 7.88284 254.4
82 10.032 5.71864 269.8 7.82205 266.3
83 10.1551 5.77329 278.8 7.76187 278.4
84 10.2782 5.63584 287.8 7.38921 290.2
85 10.4013 6.237 298 5.99241 300
86 10.5244 6.33086 308.6 7.22674 312.1
87 10.6475 6.06863 319 5.71851 321.9
88 10.7706 7.24231 331.7 6.27287 332.9
89 10.8936 5.90893 342.3 6.7451 345
90 11.0167 5.66862 352.7 6.64972 357.2
91 11.1398 6.34366 364.6 6.45027 369.3
92 11.2629 7.77023 379.5 6.5708 381.9
93 11.386 8.72575 396.6 6.17436 394
94 11.5091 6.99189 410.6 5.29386 404.6
95 11.6322 7.87141 426.7 7.18694 419.3
96 11.7553 6.65424 440.6 7.7553 435.5
97 11.8784 7.9236 457.5 6.56393 449.5
98 12.0015 6.56776 471.8 7.99154 466.9
99 12.1246 6.97509 487.3 7.8301 484.3
100 12.2477 7.4089 504.1 7.2766 500.8
5500 100
